#,Movie Name,Year of Release,Watch Time,Movie Rating,Description(synopsis),genre,showmax_url
325,Burden Of Guilt,2022,1h 49m,7.0,"Freeda, with dating anxiety disorder and having dated so many men with share disappointment is now lured into another lie that left her devastated in the end.",Drama,https://www.showmax.com/za/stream/movies/burden-of-guilt/540d6d28-62ff-360c-aa5a-485f36d0f71f
326,Burried Burden,2022,2h 55m,,"After a man loses his job and retires to the village, his brother sees him as a competition for their father's property and becomes defensive.",Drama,https://www.showmax.com/za/stream/movies/burried-burden/99740ec3-73ce-3f87-a44e-295e6e56adcc
327,Bus 7070,13,50m,8.6,"Rita decides to make a mindshift. She has hope for a new future, and of course hope for the mysterious eyes, through Box 7070's small hole, that draw her deeper every day.",Romance,https://www.showmax.com/za/stream/movies/bus-7070/683d8c2b-8887-35a2-a950-bf8e3598e208
328,Business Woman,2022,2h 56m,,A business woman will do anything and everything to make money including carrying someone's pregnancy.,Drama,https://www.showmax.com/za/stream/movies/business-woman/85545c7d-d6cf-38d8-aaea-541aa52aa37c
329,But Why Her,2023,2h 0m,,"Fred's attitude to life is crazy, and he takes it from his father. Without correction he gets worse and his mother is up against his father sleeping with their maid.",Drama,https://www.showmax.com/za/stream/movies/but-why-her/648495fc-2b12-3a2b-a701-030e37ff2a66
330,Butchers Crossing,2022,1h 47m,5.6,"Nicolas Cage stars in this compelling book-inspired Western set in the 1870s. A young Harvard dropout joins a buffalo hunter on a hunting expedition, but things soon take a wild turn. 2022",Western,https://www.showmax.com/za/stream/movies/butchers-crossing/dbda743a-1cc8-37e6-9851-a1eff6a980e9
331,"Butterflies, The",2022,2h 5m,,"Craving love and acceptance especially for Jarret and Eunice who were overwhelmed with traumatic experiences despite the affectionate claims from loved ones, does it suffice?",Drama,https://www.showmax.com/za/stream/movies/butterflies-the/fb84bacf-386f-3c8c-8bb6-de6debf988e7
332,Buzz,2019,1h 26m,5.4,"Pulitzer prize-winning reporter and author, Buzz Bissinger, experiences a sexual awakening while collaborating with Caitlyn Jenner on her tell-all memoir.",Documentary,https://www.showmax.com/za/stream/movies/buzz/8f9aa55c-2ea4-37c8-ada5-f73a84d43917
333,By Die Soutwater,2024,28m,,"In the heart of the V&A Waterfront in Cape Town, a team safeguards urban wildlife amidst bustling crowds and a working harbour. A Silwerskermfees 2024 documentary.",Documentary,https://www.showmax.com/za/stream/movies/by-die-soutwater/970b186c-0202-340e-9219-6f7900b9c4dc
334,C.I.Ape,,1h 21m,3.2,"An animal-powered spy movie for the whole family. In the espionage world, some missions require an agent with unique skills. This is a job for C.I.Ape.",Family,https://www.showmax.com/za/stream/movies/c.i.ape/eac7ac1c-bb12-32ca-86c8-e0603e910551
335,Caged My Heart,2023,2h 59m,,"Donald abandons Melissa his fiancée because she is a single mom, now he stands the chance of loosing everything if he does not get married before 40.",Drama,https://www.showmax.com/za/stream/movies/caged-my-heart/5ca833f7-5627-3a38-802d-4c53febe1943
336,Call Jane,2022,2h 1m,6.5,"A feel-good film about personal empowerment. The news of her pregnancy overjoys a housewife until she learns it threatens her life. However, legal circumstances complicate matters. 2022",Drama,https://www.showmax.com/za/stream/movies/call-jane/20f2a617-e3e6-39f5-a128-00b399fe13d3
337,Can You Forgive,2022,1h 44m,,Man who had a broken relationship made efforts to reconcile but it didn't work out as anticipated.,Drama,https://www.showmax.com/za/stream/movies/can-you-forgive/4d27683f-3d24-3e93-b5c0-2df038a20ad1
338,Captain Phillips,2013,2h 8m,7.8,Tom Hanks stars in this Oscar nominated film based on a true story. A captain and his crew face their fears head on when they're hijacked by Somali pirates.,Thriller,https://www.showmax.com/za/stream/movies/captain-phillips/cb4d0d0d-0e11-3b53-a170-c00c447458b1
339,Captain Underpants: The First Epic Movie,2017,1h 24m,6.2,Kevin Hart lends his voice to this colourful superhero animation. Two pranksters hypnotise their principal into believing he's a superhero. 2017,Comedy,https://www.showmax.com/za/stream/movies/captain-underpants-the-first-epic-movie/dbadf278-7be8-3fcf-a679-d0da523f030a
340,"Care Giver, The",2023,2h 3m,,"Daniel, a free-spirited young man who returns to Nigeria to spend his vacation with his grandmother falls in love with a beautiful lady hired to take care of the old woman.",Romance,https://www.showmax.com/za/stream/movies/care-giver-the/25e65361-885c-36f4-b8a4-5369ea26828a
341,Caretaker,13,1h 30m,,"A doctor moves into her dream home, but soon discovers a malevolent spirit lives there too.",Horror,https://www.showmax.com/za/stream/movies/caretaker/5fa963b0-c399-3e11-a4ab-21abbc15dee9
342,Cash Billionaire,2023,2h 59m,,"Sophia use prince Allwell to get to king Bobo Bosa, falls in love with him and marries him. This did not go well with the prince as he tries to jeopardize their love.",Drama,https://www.showmax.com/za/stream/movies/cash-billionaire/b42966ad-3e8e-3a8c-945e-ae027bdebd53
343,Cash Out,2024,1h 30m,4.8,"A tense action-thriller led by John Travolta. A professional thief attempts his biggest heist with his brother. However, things go wrong.",Action,https://www.showmax.com/za/stream/movies/cash-out/054e26fe-458b-343d-b01e-9400c510b80d
344,Casino,1995,2h 50m,8.2,Directing genius Martin Scorsese brings out superb performances from his cast in this classic tale of crime and punishment set in the inner-workings of a corrupt casino.,Drama,https://www.showmax.com/za/stream/movies/casino/d6a347aa-7c84-3697-952a-407995399aea
345,Cat And Rat,2023,2h 59m,,"Annabel is in Greg's life just to rip him, her deceit and perfect manipulation works perfectly on him. However, the rat in the house will frustrate this cat out of the house.",Drama,https://www.showmax.com/za/stream/movies/cat-and-rat/d660244c-09fc-3d49-96c8-49d382cf75b3
346,Cat Person,2023,1h 58m,6.0,"A horror that explores the fears of dating. When Margot goes on a date with the older Robert, she finds that he doesn't live up to the Robert she has been flirting with over texts.",Thriller,https://www.showmax.com/za/stream/movies/cat-person/9a3daa5d-e9b2-3abf-99f9-f9e2965adebd
347,Catch A Fire,2006,1h 37m,6.7,"A story of anti-apartheid activists in South Africa. Patrick Chamusso, a timid foreman at Secunda CTL, the largest synthetic fuel plant in the world. Chamusso is wrongly accused, imprisoned and tortured for an attempt to bomb the plant.",True Life,https://www.showmax.com/za/stream/movies/catch-a-fire/da8bcf7e-c347-3419-be96-82de54aadcbc
348,Cats,1981,1h 45m,2.8,Tom Hooper's film adaptation of a 1981 Broadway musical. A wish for a new beginning in a 'cat heaven' fuels an annual singing contest within a group of cats known as the Jellicles.,Musical,https://www.showmax.com/za/stream/movies/cats/8cd941c2-6a50-33ec-8e17-2c4a525a425f
349,Cats In The Museum,2023,1h 19m,4.7,"An adventure-filled feline animation. A young cat and a mouse escape from a flood and end up at a museum. There, they meet an elite feline squad that protects artwork. 2023",Adventure,https://www.showmax.com/za/stream/movies/cats-in-the-museum/1de6ab38-2efb-37c8-89df-636160d0e3e1
350,Caught In The Web,2022,1h 49m,,"Two betrothed childhood friends, share moments in one apartment to prove they are compatible to their parents. What are the odds to deal with threats from their spouses?",Drama,https://www.showmax.com/za/stream/movies/caught-in-the-web/94c0a054-d128-3a6f-8f24-c02da3682587
