#,Movie Name,Year of Release,Watch Time,Movie Rating,Description(synopsis),genre,showmax_url
1804,The Amazing Maurice,2022,1h 33m,6.2,"A feel-good animation. A goofy streetwise cat has the perfect money-making scam that involves a dumb-looking, pipe-playing kid and a horde of strangely literate rats.",Adventure,https://www.showmax.com/za/stream/movies/amazing-maurice-the/324a12c7-09fc-37ca-9034-0107e31a482c
1805,The Amazing Spider-Man 2,2014,2h 15m,6.6,Andrew Garfield returns for a second round of web-slinging action.  Dangerous new enemies and family secrets weigh heavy on young Peter Parker as he struggles with his destiny. 2014,Action,https://www.showmax.com/za/stream/movies/the-amazing-spider-man-2/654d2c0c-3297-3fc2-a867-1556291e6b18
1806,The Amazing Spiderman,2012,2h 10m,6.9,Andrew Garfield stars as the webslinger in this revamped superhero instalment that sees a young Peter Parker discovering his newfound abilities and uncovering his mysterious past. 2012,Action,https://www.showmax.com/za/stream/movies/the-amazing-spiderman/8de81b3d-845c-342e-88df-95412c700178
1807,The Angry Birds Movie,2016,1h 33m,6.3,"A delightfully fun animation based of the hit video games that took this world by storm. An island populated with happy flightless birds is visited by mysterious pigs, and the only angry bird on the Island is suspicious of them. 2016",Action,https://www.showmax.com/za/stream/movies/the-angry-birds-movie/1187b849-8c46-31a4-83d6-871c86911ab4
1808,The Angry Birds Movie 2,2019,1h 32m,6.4,"This fast-paced, funny sequel is led by a starry voice cast consisting of Rachel Bloom and Leslie Jones. The pigs and birds put their past behind them to fight against an enemy. 2019",Comedy,https://www.showmax.com/za/stream/movies/the-angry-birds-movie-2/e6f33819-020d-3dec-bbd1-c1dd53fb6cf4
1809,The Arrival,2022,2h 59m,6.2,A prince escapes the cold hands of death and ends up in the hands of his one true love. Little did he know that those that plan his plot are withing his household.,Drama,https://www.showmax.com/za/stream/movies/the-arrival/8a942349-fe8f-31bf-a0b5-26e518882f0d
1810,The Aviary,2022,1h 35m,4.2,"A thought-provoking, chilling psychological thriller. Two women flee into the New Mexican desert to escape an insidious cult. However, they feel its leader is following them. 2022",Thriller,https://www.showmax.com/za/stream/movies/the-aviary/8f48b693-198b-3df6-8690-61f2669149bc
1811,The Baecation,2023,1h 45m,,Steve and his friends' bachelor getaway at an Airbnb turns into a chilling ordeal as their peaceful retreat unravels into fear and unsettling ambiguity.,Drama,https://www.showmax.com/za/stream/movies/the-baecation/2ba580d8-b0c5-353d-87ed-bb565f4382b8
1812,The Barkers : Mind The Cats!,2020,1h 13m,5.5,"An adventure-filled animation. While on holiday with his dog family, Kid is eager to play with his siblings, but they are too busy. Luckily, Kid finds new friends: Cats.",Kids,https://www.showmax.com/za/stream/movies/the-barkers--mind-the-cats/39ac2018-e942-333d-99a5-f4ffd5780aa6
1813,The Barkers Team,2023,1h 24m,,"A fun musical animation. The Barkers dream of becoming famous. When Kat becomes their neighbour, not only friendship but also rivalry develops between them. 2023",Kids,https://www.showmax.com/za/stream/movies/the-barkers-team/31fc0421-0378-3e10-96ec-4042e348dd50
1814,The Beekeeper,2024,1h 45m,6.3,A revenge-filled thriller driven by Jason Statham. A former operative of a powerful and clandestine organisation known as Beekeepers is on a brutal campaign for vengeance. 2024,Action,https://www.showmax.com/za/stream/movies/the-beekeeper/9fff7a32-3a66-3fe4-9ddc-79fc0e0f791b
1815,The Best Man,1999,1h 55m,6.7,Friendships are tested in this romcom starring Taye Diggs. A man's autobiographical 'tell-all' book exposes his friends' secrets putting his friend's wedding in jeopardy,Comedy,https://www.showmax.com/za/stream/movies/the-best-man/d7425031-d329-30de-aa27-342fdd3a4f52
